,"The Little Prince 
- Antoine de Saint-Exupéry","21 Lessons For The 21st Century
- Yuval Noah Harari","The Alchemist
- Paulo Coelho","The Godfather 
- Mario Puzo","Journey To The East 
- Baird T. Spalding","Les Misérables
- Victor Hugo","How the Steel Was Tempered
- Nikolai Alekseyevich Ostrovsky","Give me a ticket to childhood
- Nguyen Nhat Anh","Ha Do
- Bui Viet Huong","Think And Grow Rich 
- Napoleon Hill",,,
Fantasy,1,0,0,0,0,0,0,0,0,0,,,
Academic,1,1,0,0,0,0,1,0,0,1,,,
Children,1,0,0,0,0,0,0,1,1,0,,,
Self-help,0,1,1,0,0,0,1,0,0,1,,,
History,0,1,0,0,0,0,0,0,0,0,,,
Novel,1,0,1,1,1,1,1,1,1,0,,,
Criminal-detective,0,0,0,1,0,0,0,0,0,0,,,
Religious-supernatural,0,0,0,0,1,0,0,0,0,0,,,
Romance,0,1,0,1,0,1,0,1,1,0,,,
Reality,0,1,0,0,0,1,1,0,1,0,,,
